request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_188,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. No eligible payment option keeps the EUR 900 minimum protected through the 90-day forecast.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This keeps the EUR 400 minimum protected over the 90-day forecast.
request_190,524.5,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Wait until 2024-12-15 to pay EUR 2557.5 in full; paying earlier would risk the EUR 1600 minimum.
request_191,273.14,not_affordable,not_recommended,none,,none,Do not make this payment by 17 July 2025. No eligible payment option keeps the EUR 500 minimum protected through the 90-day forecast.
request_192,162.74,not_affordable,not_recommended,none,,none,Do not make this payment by 11 May 2026. No eligible payment option keeps the USD 1000 minimum protected through the 90-day forecast.
request_193,97.47,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,Use 3 installments of EUR 420.23. The full schedule stays above the EUR 1000 minimum and completes by the requested date.
request_194,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 23 October 2025. No eligible payment option keeps the INR 113600 minimum protected through the 90-day forecast.
request_195,918.07,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,Use 3 installments of EUR 405.74. The full schedule stays above the EUR 700 minimum and completes by the requested date.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This keeps the EUR 500 minimum protected over the 90-day forecast.
request_197,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 January 2026. No eligible payment option keeps the IDR 26245900 minimum protected through the 90-day forecast.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This keeps the INR 124300 minimum protected over the 90-day forecast.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 installments of IDR 8206986.67. The full schedule stays above the IDR 25359500 minimum and completes by the requested date.
request_200,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 10 April 2025. No eligible payment option keeps the IDR 20114600 minimum protected through the 90-day forecast.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This keeps the IDR 17304500 minimum protected over the 90-day forecast.
request_202,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 January 2025. No eligible payment option keeps the INR 147800 minimum protected through the 90-day forecast.
request_203,909.16,not_affordable,not_recommended,none,,none,Do not make this payment by 08 July 2025. No eligible payment option keeps the EUR 1400 minimum protected through the 90-day forecast.
request_204,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 31 January 2026. No eligible payment option keeps the EUR 1300 minimum protected through the 90-day forecast.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This keeps the IDR 13994300 minimum protected over the 90-day forecast.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 installments of EUR 486.96. The full schedule stays above the EUR 900 minimum and completes by the requested date.
request_207,5443.87,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 to pay ZAR 11830 in full; paying earlier would risk the ZAR 13600 minimum.
request_208,3625183.88,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait until 2024-06-15 to pay IDR 4413000 in full; paying earlier would risk the IDR 10470700 minimum.
request_209,578.05,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. No eligible payment option keeps the ZAR 18400 minimum protected through the 90-day forecast.
request_210,821.8,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,Use 3 installments of USD 471.48. The full schedule stays above the USD 2000 minimum and completes by the requested date.
request_211,267.88,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,Wait until 2024-09-15 to pay EUR 1788.6 in full; paying earlier would risk the EUR 1500 minimum.
request_212,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 February 2025. No eligible payment option keeps the IDR 29579800 minimum protected through the 90-day forecast.
request_213,3306.83,not_affordable,not_recommended,none,,none,Do not make this payment by 22 March 2026. No eligible payment option keeps the USD 2100 minimum protected through the 90-day forecast.
request_214,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 January 2025. No eligible payment option keeps the INR 174900 minimum protected through the 90-day forecast.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 installments of ZAR 10395.15. The full schedule stays above the ZAR 15700 minimum and completes by the requested date.
request_216,571.77,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,Wait until 2026-09-15 to pay USD 3332.4 in full; paying earlier would risk the USD 1800 minimum.
request_217,20953.38,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use 3 installments of ZAR 12889.07. The full schedule stays above the ZAR 26800 minimum and completes by the requested date.
request_218,24376621.44,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Use 3 installments of IDR 21195893.33. The full schedule stays above the IDR 34477200 minimum and completes by the requested date.
request_219,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 13 June 2026. No eligible payment option keeps the EUR 1100 minimum protected through the 90-day forecast.
request_220,130.02,not_affordable,not_recommended,none,2024-06-15,none,Do not make this payment by 03 July 2024. No eligible payment option keeps the EUR 1100 minimum protected through the 90-day forecast.
request_221,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 January 2026. No eligible payment option keeps the INR 81500 minimum protected through the 90-day forecast.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This keeps the ZAR 27300 minimum protected over the 90-day forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This keeps the EUR 800 minimum protected over the 90-day forecast.
request_224,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2025. No eligible payment option keeps the IDR 22187600 minimum protected through the 90-day forecast.
request_225,10626659.95,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Use 3 installments of IDR 7647120. The full schedule stays above the IDR 17670700 minimum and completes by the requested date.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This keeps the INR 209400 minimum protected over the 90-day forecast.
request_227,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 June 2025. No eligible payment option keeps the INR 62900 minimum protected through the 90-day forecast.
request_228,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 April 2026. No eligible payment option keeps the IDR 26191200 minimum protected through the 90-day forecast.
request_229,495.21,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Use 3 installments of EUR 529.29. The full schedule stays above the EUR 1000 minimum and completes by the requested date.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. This keeps the EUR 2000 minimum protected over the 90-day forecast.
request_231,34108.59,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,Use 3 installments of ZAR 12378.08. The full schedule stays above the ZAR 24300 minimum and completes by the requested date.
request_232,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. No eligible payment option keeps the EUR 2400 minimum protected through the 90-day forecast.
request_233,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. No eligible payment option keeps the IDR 10365700 minimum protected through the 90-day forecast.
request_234,217.23,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Wait until 2026-08-15 to pay EUR 1213.3 in full; paying earlier would risk the EUR 700 minimum.
request_235,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 October 2024. No eligible payment option keeps the USD 700 minimum protected through the 90-day forecast.
request_236,5794905.49,not_affordable,not_recommended,none,,none,Do not make this payment by 23 February 2025. No eligible payment option keeps the IDR 16768600 minimum protected through the 90-day forecast.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This keeps the IDR 22431500 minimum protected over the 90-day forecast.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments of USD 230.05. The full schedule stays above the USD 700 minimum and completes by the requested date.
request_239,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 May 2025. No eligible payment option keeps the USD 600 minimum protected through the 90-day forecast.
request_240,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. No eligible payment option keeps the INR 52800 minimum protected through the 90-day forecast.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 installments of IDR 7298026.67. The full schedule stays above the IDR 19252000 minimum and completes by the requested date.
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. No eligible payment option keeps the EUR 600 minimum protected through the 90-day forecast.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This keeps the ZAR 19900 minimum protected over the 90-day forecast.
request_244,724.31,not_affordable,not_recommended,none,,none,Do not make this payment by 16 July 2024. No eligible payment option keeps the ZAR 45900 minimum protected through the 90-day forecast.
request_245,31801.38,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Wait until 2025-12-15 to pay INR 128500 in full; paying earlier would risk the INR 94600 minimum.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 installments of ZAR 22216.48. The full schedule stays above the ZAR 39300 minimum and completes by the requested date.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. This keeps the EUR 1300 minimum protected over the 90-day forecast.
request_248,939.43,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 28 April 2025. No eligible payment option keeps the USD 1300 minimum protected through the 90-day forecast.
request_249,163.15,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Wait until 2026-03-15 to pay USD 643.2 in full; paying earlier would risk the USD 600 minimum.
request_250,15422.86,not_affordable,not_recommended,none,,none,Do not make this payment by 18 January 2025. No eligible payment option keeps the ZAR 35300 minimum protected through the 90-day forecast.
request_251,362.87,not_affordable,not_recommended,none,,none,Do not make this payment by 06 June 2025. No eligible payment option keeps the EUR 1300 minimum protected through the 90-day forecast.
request_252,4748577.42,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 to pay IDR 28082000 in full; paying earlier would risk the IDR 15152200 minimum.
request_253,1478.37,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,Use 3 installments of EUR 984.6. The full schedule stays above the EUR 2300 minimum and completes by the requested date.
request_254,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. No eligible payment option keeps the USD 2500 minimum protected through the 90-day forecast.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This keeps the IDR 9813900 minimum protected over the 90-day forecast.
request_256,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 19 August 2024. No eligible payment option keeps the INR 168600 minimum protected through the 90-day forecast.
request_257,412.04,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Wait until 2025-11-15 to pay USD 1352.4 in full; paying earlier would risk the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This keeps the USD 500 minimum protected over the 90-day forecast.
request_259,212.8,affordable_later,wait,2024-11-15:935,2024-11-15,none,Wait until 2024-11-15 to pay EUR 935 in full; paying earlier would risk the EUR 600 minimum.
request_260,7591037.38,not_affordable,not_recommended,none,2025-03-15,none,Do not make this payment by 18 April 2025. No eligible payment option keeps the IDR 20727700 minimum protected through the 90-day forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. This keeps the EUR 1500 minimum protected over the 90-day forecast.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This keeps the IDR 31018500 minimum protected over the 90-day forecast.
request_263,5742.2,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. No eligible payment option keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_264,23325.23,affordable_later,wait,2026-06-15:111300,2026-06-15,none,Wait until 2026-06-15 to pay INR 111300 in full; paying earlier would risk the INR 59500 minimum.
request_265,39926.14,affordable_with_plan,full_payment,2024-03-06:45970,,stop:event_24385,Pay the full INR 45970 on 2024-03-06 after the permitted flexible-spending changes. This keeps the minimum balance protected.
request_266,773.92,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use 3 installments of EUR 324.13. The full schedule stays above the EUR 900 minimum and completes by the requested date.
request_267,1682.18,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Use 3 installments of EUR 667.33. The full schedule stays above the EUR 1500 minimum and completes by the requested date.
request_268,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. No eligible payment option keeps the EUR 1400 minimum protected through the 90-day forecast.
request_269,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 02 January 2026. No eligible payment option keeps the ZAR 23100 minimum protected through the 90-day forecast.
request_270,132.1,not_affordable,not_recommended,none,2026-08-15,none,Do not make this payment by 30 August 2026. No eligible payment option keeps the USD 1400 minimum protected through the 90-day forecast.
request_271,15704.2,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait until 2024-11-15 to pay INR 91300 in full; paying earlier would risk the INR 58200 minimum.
request_272,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 10 April 2025. No eligible payment option keeps the IDR 7508600 minimum protected through the 90-day forecast.
request_273,9573656.91,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,Use 3 installments of IDR 5498480. The full schedule stays above the IDR 18774600 minimum and completes by the requested date.
request_274,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 11 February 2025. No eligible payment option keeps the EUR 1800 minimum protected through the 90-day forecast.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This keeps the IDR 12760100 minimum protected over the 90-day forecast.
